username,repo_name,stars,repo_url
mrdoob,three.js,86300,https://github.com/mrdoob/three.js
libgdx,libgdx,20700,https://github.com/libgdx/libgdx
pmndrs,react-three-fiber,20100,https://github.com/pmndrs/react-three-fiber
BabylonJS,Babylon.js,18600,https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,15000,https://github.com/ssloy/tinyrenderer
aframevr,aframe,14700,https://github.com/aframevr/aframe
lettier,3d-game-shaders-for-beginners,13900,https://github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,12400,https://github.com/FreeCAD/FreeCAD
metafizzy,zdog,9400,https://github.com/metafizzy/zdog
CesiumGS,cesium,9400,https://github.com/CesiumGS/cesium
timzhang642,3D-Machine-Learning,8400,https://github.com/timzhang642/3D-Machine-Learning
isl-org,Open3D,7600,https://github.com/isl-org/Open3D
a1studmuffin,SpaceshipGenerator,7200,https://github.com/a1studmuffin/SpaceshipGenerator
blender,blender,6900,https://github.com/blender/blender
domlysz,BlenderGIS,5700,https://github.com/domlysz/BlenderGIS
openscad,openscad,5100,https://github.com/openscad/openscad
FyroxEngine,Fyrox,5000,https://github.com/FyroxEngine/Fyrox
spritejs,spritejs,5000,https://github.com/spritejs/spritejs
google,model-viewer,4900,https://github.com/google/model-viewer
jagenjo,webglstudio.js,4800,https://github.com/jagenjo/webglstudio.js
