username,repo_name,stars,repo_url
public-apis,public-apis,213000,https://github.com/public-apis/public-apis
neovim,neovim,59000,https://github.com/neovim/neovim
tiangolo,fastapi,50800,https://github.com/tiangolo/fastapi
strapi,strapi,49000,https://github.com/strapi/strapi
hoppscotch,hoppscotch,47700,https://github.com/hoppscotch/hoppscotch
slatedocs,slate,34600,https://github.com/slatedocs/slate
meilisearch,meilisearch,30400,https://github.com/meilisearch/meilisearch
hasura,graphql-engine,28500,https://github.com/hasura/graphql-engine
ccxt,ccxt,26100,https://github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,25900,https://github.com/Binaryify/NeteaseCloudMusicApi
YMFE,yapi,25200,https://github.com/YMFE/yapi
httpie,httpie,24400,https://github.com/httpie/httpie
encode,django-rest-framework,24300,https://github.com/encode/django-rest-framework
Kong,insomnia,24300,https://github.com/Kong/insomnia
littlecodersh,ItChat,22500,https://github.com/littlecodersh/ItChat
paularmstrong,normalizr,20900,https://github.com/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,20400,https://github.com/FallibleInc/security-guide-for-developers
microsoft,api-guidelines,20200,https://github.com/microsoft/api-guidelines
pubkey,rxdb,18300,https://github.com/pubkey/rxdb
directus,directus,18000,https://github.com/directus/directus
