username,repo_name,stars,repo_url
dotnet,AspNetCore.Docs,11000,https://github.com/dotnet/AspNetCore.Docs
bitwarden,server,10800,https://github.com/bitwarden/server
aspnetboilerplate,aspnetboilerplate,10700,https://github.com/aspnetboilerplate/aspnetboilerplate
abpframework,abp,8800,https://github.com/abpframework/abp
nopSolutions,nopCommerce,7600,https://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,6500,https://github.com/ElectronNET/Electron.NET
thangchung,clean-code-dotnet,5500,https://github.com/thangchung/clean-code-dotnet
RicoSuter,NSwag,5500,https://github.com/RicoSuter/NSwag
smartstore,SmartStoreNET,2500,https://github.com/smartstore/SmartStoreNET
JimBobSquarePants,ImageProcessor,2500,https://github.com/JimBobSquarePants/ImageProcessor
dotnet,aspnet-api-versioning,2400,https://github.com/dotnet/aspnet-api-versioning
serenity-is,Serenity,2300,https://github.com/serenity-is/Serenity
loic-sharma,BaGet,2200,https://github.com/loic-sharma/BaGet
mjebrahimi,Awesome-Microservices-DotNet,2000,https://github.com/mjebrahimi/Awesome-Microservices-DotNet
TrilonIO,aspnetcore-angular-universal,1500,https://github.com/TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,1200,https://github.com/TrilonIO/aspnetcore-Vue-starter
MarimerLLC,csla,1100,https://github.com/MarimerLLC/csla
antonioCoco,SharPyShell,702,https://github.com/antonioCoco/SharPyShell
riganti,dotvvm,632,https://github.com/riganti/dotvvm
cornflourblue,aspnet-core-3-jwt-authentication-api,624,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
