username,repo_name,stars,repo_url
jwasham,coding-interview-university,236000,https://github.com/jwasham/coding-interview-university
CyC2018,CS-Notes,158000,https://github.com/CyC2018/CS-Notes
trekhleb,javascript-algorithms,153000,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,147000,https://github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,80000,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,58400,https://github.com/kdn251/interviews
azl397985856,leetcode,49700,https://github.com/azl397985856/leetcode
TheAlgorithms,Java,48600,https://github.com/TheAlgorithms/Java
algorithm-visualizer,algorithm-visualizer,39300,https://github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,32700,https://github.com/youngyangyang04/leetcode-master
halfrost,LeetCode-Go,27300,https://github.com/halfrost/LeetCode-Go
crossoverJie,JCSprout,26800,https://github.com/crossoverJie/JCSprout
donnemartin,interactive-coding-challenges,26400,https://github.com/donnemartin/interactive-coding-challenges
huihut,interview,26300,https://github.com/huihut/interview
TheAlgorithms,JavaScript,23500,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,22100,https://github.com/TheAlgorithms/C-Plus-Plus
keon,algorithms,21700,https://github.com/keon/algorithms
trekhleb,homemade-machine-learning,20300,https://github.com/trekhleb/homemade-machine-learning
mxgmn,WaveFunctionCollapse,20100,https://github.com/mxgmn/WaveFunctionCollapse
AtsushiSakai,PythonRobotics,16600,https://github.com/AtsushiSakai/PythonRobotics
