username,repo_name,stars,repo_url
localstack,localstack,44200,https://github.com/localstack/localstack
serverless,serverless,43700,https://github.com/serverless/serverless
bregman-arie,devops-exercises,31800,https://github.com/bregman-arie/devops-exercises
donnemartin,data-science-ipython-notebooks,24000,https://github.com/donnemartin/data-science-ipython-notebooks
pulumi,pulumi,14000,https://github.com/pulumi/pulumi
ramitsurana,awesome-kubernetes,13200,https://github.com/ramitsurana/awesome-kubernetes
kubernetes-sigs,kubespray,13000,https://github.com/kubernetes-sigs/kubespray
aws,aws-cli,13000,https://github.com/aws/aws-cli
mozilla,sops,11100,https://github.com/mozilla/sops
donnemartin,awesome-aws,10900,https://github.com/donnemartin/awesome-aws
apereo,cas,9800,https://github.com/apereo/cas
aws,aws-cdk,9400,https://github.com/aws/aws-cdk
caprover,caprover,9400,https://github.com/caprover/caprover
serverless-stack,sst,9300,https://github.com/serverless-stack/sst
aws,chalice,9300,https://github.com/aws/chalice
aws-amplify,amplify-js,9000,https://github.com/aws-amplify/amplify-js
angristan,openvpn-install,8900,https://github.com/angristan/openvpn-install
GoogleCloudPlatform,terraformer,8800,https://github.com/GoogleCloudPlatform/terraformer
aws,serverless-application-model,8800,https://github.com/aws/serverless-application-model
apex,up,8600,https://github.com/apex/up
