username,repo_name,stars,repo_url
sindresorhus,awesome,224000,https://github.com/sindresorhus/awesome
vinta,awesome-python,145000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,107000,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,89800,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,80800,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,65200,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,60500,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,57400,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,54200,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,50600,https://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,47500,https://github.com/sindresorhus/awesome-nodejs
MunGell,awesome-for-beginners,44900,https://github.com/MunGell/awesome-for-beginners
wasabeef,awesome-android-ui,44300,https://github.com/wasabeef/awesome-android-ui
Solido,awesome-flutter,43600,https://github.com/Solido/awesome-flutter
prakhar1989,awesome-courses,43400,https://github.com/prakhar1989/awesome-courses
binhnguyennus,awesome-scalability,41400,https://github.com/binhnguyennus/awesome-scalability
fffaraz,awesome-cpp,41200,https://github.com/fffaraz/awesome-cpp
vsouza,awesome-ios,40900,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,37500,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,35500,https://github.com/dypsilon/frontend-dev-bookmarks
