username,repo_name,stars,repo_url
bregman-arie,devops-exercises,31800,https://github.com/bregman-arie/devops-exercises
microsoft,recommenders,14300,https://github.com/microsoft/recommenders
pulumi,pulumi,14000,https://github.com/pulumi/pulumi
ramitsurana,awesome-kubernetes,13200,https://github.com/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,12300,https://github.com/Azure/azure-quickstart-templates
mozilla,sops,11100,https://github.com/mozilla/sops
caprover,caprover,9400,https://github.com/caprover/caprover
microsoft,computervision-recipes,8700,https://github.com/microsoft/computervision-recipes
google,go-cloud,8600,https://github.com/google/go-cloud
infracost,infracost,8100,https://github.com/infracost/infracost
microsoft,azuredatastudio,6900,https://github.com/microsoft/azuredatastudio
node-formidable,formidable,6400,https://github.com/node-formidable/formidable
midwayjs,midway,6200,https://github.com/midwayjs/midway
thangchung,clean-code-dotnet,5500,https://github.com/thangchung/clean-code-dotnet
aquasecurity,tfsec,5200,https://github.com/aquasecurity/tfsec
budtmo,docker-android,5000,https://github.com/budtmo/docker-android
nccgroup,ScoutSuite,4800,https://github.com/nccgroup/ScoutSuite
bridgecrewio,checkov,4800,https://github.com/bridgecrewio/checkov
cloud-custodian,cloud-custodian,4500,https://github.com/cloud-custodian/cloud-custodian
Azure,azure-sdk-for-net,4000,https://github.com/Azure/azure-sdk-for-net
