username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,113000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,61900,https://github.com/nvm-sh/nvm
junegunn,fzf,47700,https://github.com/junegunn/fzf
google,zx,34700,https://github.com/google/zx
dylanaraps,pure-bash-bible,32400,https://github.com/dylanaraps/pure-bash-bible
LeCoupa,awesome-cheatsheets,31000,https://github.com/LeCoupa/awesome-cheatsheets
koalaman,shellcheck,30300,https://github.com/koalaman/shellcheck
starship,starship,29800,https://github.com/starship/starship
acmesh-official,acme.sh,28500,https://github.com/acmesh-official/acme.sh
mathiasbynens,dotfiles,28400,https://github.com/mathiasbynens/dotfiles
alebcay,awesome-shell,25200,https://github.com/alebcay/awesome-shell
withfig,autocomplete,20400,https://github.com/withfig/autocomplete
jaywcjlove,linux-command,20300,https://github.com/jaywcjlove/linux-command
dylanaraps,neofetch,16400,https://github.com/dylanaraps/neofetch
Nyr,openvpn-install,16000,https://github.com/Nyr/openvpn-install
rbenv,rbenv,14500,https://github.com/rbenv/rbenv
powerline,powerline,13600,https://github.com/powerline/powerline
shelljs,shelljs,13500,https://github.com/shelljs/shelljs
Bash-it,bash-it,13200,https://github.com/Bash-it/bash-it
faressoft,terminalizer,13000,https://github.com/faressoft/terminalizer
