username,repo_name,stars,repo_url
bitcoin,bitcoin,66600,https://github.com/bitcoin/bitcoin
ccxt,ccxt,26100,https://github.com/ccxt/ccxt
freqtrade,freqtrade,19600,https://github.com/freqtrade/freqtrade
HelloZeroNet,ZeroNet,17700,https://github.com/HelloZeroNet/ZeroNet
askmike,gekko,9900,https://github.com/askmike/gekko
solana-labs,solana,9600,https://github.com/solana-labs/solana
bbfamily,abu,9400,https://github.com/bbfamily/abu
dvf,blockchain,7200,https://github.com/dvf/blockchain
lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk
lightningnetwork,lnd,6400,https://github.com/lightningnetwork/lnd
yeasy,blockchain_guide,6300,https://github.com/yeasy/blockchain_guide
spesmilo,electrum,6000,https://github.com/spesmilo/electrum
butor,blackbird,5600,https://github.com/butor/blackbird
btcsuite,btcd,5000,https://github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,4700,https://github.com/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,4400,https://github.com/bitcoinj/bitcoinj
jesse-ai,jesse,4300,https://github.com/jesse-ai/jesse
CryptoSignal,Crypto-Signal,4200,https://github.com/CryptoSignal/Crypto-Signal
bisq-network,bisq,4100,https://github.com/bisq-network/bisq
coinpride,CryptoList,3900,https://github.com/coinpride/CryptoList
