username,repo_name,stars,repo_url
CyC2018,CS-Notes,158000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,79700,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,49700,https://github.com/azl397985856/leetcode
fffaraz,awesome-cpp,41200,https://github.com/fffaraz/awesome-cpp
x64dbg,x64dbg,39300,https://github.com/x64dbg/x64dbg
youngyangyang04,leetcode-master,32700,https://github.com/youngyangyang04/leetcode-master
carbon-language,carbon-lang,28400,https://github.com/carbon-language/carbon-lang
huihut,interview,26300,https://github.com/huihut/interview
microsoft,calculator,26000,https://github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,25200,https://github.com/CMU-Perceptual-Computing-Lab/openpose
yuzu-emu,yuzu,22200,https://github.com/yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,22100,https://github.com/TheAlgorithms/C-Plus-Plus
changkun,modern-cpp-tutorial,19000,https://github.com/changkun/modern-cpp-tutorial
ethereum,solidity,18600,https://github.com/ethereum/solidity
doocs,leetcode,17900,https://github.com/doocs/leetcode
microsoft,vcpkg,17000,https://github.com/microsoft/vcpkg
gabime,spdlog,15900,https://github.com/gabime/spdlog
catchorg,Catch2,15800,https://github.com/catchorg/Catch2
dragonflydb,dragonfly,15400,https://github.com/dragonflydb/dragonfly
AnthonyCalandra,modern-cpp-features,15100,https://github.com/AnthonyCalandra/modern-cpp-features
