username,repo_name,stars,repo_url
Genymobile,scrcpy,71900,https://github.com/Genymobile/scrcpy
neovim,neovim,59000,https://github.com/neovim/neovim
git,git,44000,https://github.com/git/git
obsproject,obs-studio,42500,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,41200,https://github.com/fffaraz/awesome-cpp
serhii-londar,open-source-mac-os-apps,32700,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,32299,https://github.com/FFmpeg/FFmpeg
vim,vim,28700,https://github.com/vim/vim
curl,curl,27000,https://github.com/curl/curl
huihut,interview,26300,https://github.com/huihut/interview
ggreer,the_silver_searcher,24200,https://github.com/ggreer/the_silver_searcher
pbatard,rufus,20500,https://github.com/pbatard/rufus
mpv-player,mpv,20300,https://github.com/mpv-player/mpv
ruby,ruby,19600,https://github.com/ruby/ruby
ossrs,srs,19400,https://github.com/ossrs/srs
google,flatbuffers,18900,https://github.com/google/flatbuffers
oracle,graal,17700,https://github.com/oracle/graal
radareorg,radare2,17100,https://github.com/radareorg/radare2
microsoft,vcpkg,17000,https://github.com/microsoft/vcpkg
kovidgoyal,kitty,16400,https://github.com/kovidgoyal/kitty
