username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,151000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,47700,https://github.com/junegunn/fzf
sharkdp,bat,37700,https://github.com/sharkdp/bat
sherlock-project,sherlock,36600,https://github.com/sherlock-project/sherlock
google,zx,34700,https://github.com/google/zx
wagoodman,dive,34100,https://github.com/wagoodman/dive
BurntSushi,ripgrep,33900,https://github.com/BurntSushi/ripgrep
chubin,cheat.sh,30800,https://github.com/chubin/cheat.sh
jesseduffield,lazygit,30500,https://github.com/jesseduffield/lazygit
cli,cli,30200,https://github.com/cli/cli
spf13,cobra,29200,https://github.com/spf13/cobra
n8n-io,n8n,26100,https://github.com/n8n-io/n8n
angular,angular-cli,25700,https://github.com/angular/angular-cli
alebcay,awesome-shell,25200,https://github.com/alebcay/awesome-shell
sharkdp,fd,25000,https://github.com/sharkdp/fd
ibraheemdev,modern-unix,24600,https://github.com/ibraheemdev/modern-unix
httpie,httpie,24400,https://github.com/httpie/httpie
google,python-fire,23200,https://github.com/google/python-fire
tqdm,tqdm,23200,https://github.com/tqdm/tqdm
vercel,pkg,22100,https://github.com/vercel/pkg
