username,repo_name,stars,repo_url
vercel,next.js,94300,https://github.com/vercel/next.js
rust-lang,rust,73600,https://github.com/rust-lang/rust
sveltejs,svelte,62800,https://github.com/sveltejs/svelte
webpack,webpack,62000,https://github.com/webpack/webpack
gatsbyjs,gatsby,53700,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,42900,https://github.com/JetBrains/kotlin
babel,babel,41500,https://github.com/babel/babel
parcel-bundler,parcel,41500,https://github.com/parcel-bundler/parcel
evanw,esbuild,33700,https://github.com/evanw/esbuild
vlang,v,30700,https://github.com/vlang/v
markedjs,marked,28500,https://github.com/markedjs/marked
carbon-language,carbon-lang,28400,https://github.com/carbon-language/carbon-lang
swc-project,swc,24300,https://github.com/swc-project/swc
vercel,pkg,22100,https://github.com/vercel/pkg
v8,v8,20400,https://github.com/v8/v8
ziglang,zig,18200,https://github.com/ziglang/zig
AssemblyScript,assemblyscript,14700,https://github.com/AssemblyScript/assemblyscript
nim-lang,Nim,13700,https://github.com/nim-lang/Nim
Konloch,bytecode-viewer,13300,https://github.com/Konloch/bytecode-viewer
RustPython,RustPython,12400,https://github.com/RustPython/RustPython
